age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,target,_pdays_followup,_pdays_recent
51,admin.,divorced,professional.course,no,yes,yes,cellular,aug,mon,4621,1,2,failure,1.4,90.81,-35.53,0.69,5219.74,0,False,False
50,services,married,high.school,unknown,yes,no,cellular,may,mon,4715,1,2,nonexistent,-1.8,96.33,-40.58,4.05,4974.79,1,False,False
48,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,wed,171,0,1,failure,-1.8,96.33,-44.74,1.5,5022.61,0,False,False
26,entrepreneur,single,high.school,yes,yes,yes,cellular,aug,fri,359,26,0,nonexistent,1.4,97.08,-35.55,5.11,5222.87,1,False,False
45,admin.,single,university.degree,no,no,no,cellular,nov,tue,3178,1,4,success,-3.4,89.82,-33.83,1.17,4884.7,0,False,False
47,management,married,unknown,no,no,no,cellular,jul,thu,817,1,3,nonexistent,1.4,94.58,-30.37,3.55,5257.02,0,True,False
33,technician,married,high.school,no,yes,no,cellular,aug,mon,76,2,0,nonexistent,1.4,94.93,-35.12,4.74,5018.97,0,False,False
40,technician,married,basic.9y,yes,no,unknown,cellular,apr,mon,4391,36,4,success,1.4,94.44,-33.52,4.61,5452.31,0,False,False
47,services,married,high.school,no,no,no,cellular,aug,thu,161,0,0,nonexistent,1.4,95.4,-37.65,5.09,5358.8,0,False,False
53,housemaid,married,unknown,no,no,no,cellular,aug,fri,2437,0,6,success,-2.9,93.17,-28.27,2.3,4988.07,1,False,False
37,self-employed,married,university.degree,no,no,no,telephone,jun,mon,2746,1,5,success,-1.7,92.83,-35.22,1.63,5333.01,1,False,False
55,housemaid,married,university.degree,no,no,no,cellular,jul,wed,384,1,0,nonexistent,1.4,91.85,-41.03,4.95,5254.24,0,False,False
36,technician,single,professional.course,no,yes,yes,cellular,aug,thu,135,0,0,nonexistent,1.4,97.27,-36.6,4.88,5296.06,0,False,False
30,blue-collar,single,high.school,no,yes,no,cellular,may,thu,222,1,0,nonexistent,-1.8,92.7,-46.06,1.22,4900.23,0,False,False
52,housemaid,divorced,basic.4y,no,yes,no,cellular,jul,mon,50,4,0,nonexistent,1.4,92.88,-41.84,4.79,4992.83,0,False,False
26,self-employed,single,university.degree,no,unknown,unknown,cellular,aug,mon,126,2,1,failure,-2.9,89.43,-30.2,0.88,5162.49,0,False,False
36,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,590,2,5,success,1.4,96.7,-31.39,1.21,5136.16,0,False,False
36,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,15,3,0,nonexistent,1.4,90.49,-41.08,4.88,5416.31,0,False,False
50,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,wed,4526,0,4,nonexistent,1.4,97.27,-44.11,1.27,4915.69,0,False,False
27,admin.,single,university.degree,no,yes,no,cellular,may,wed,45,2,0,nonexistent,-1.8,90.03,-29.23,1.17,5182.53,0,False,False
50,unemployed,single,basic.4y,no,yes,no,cellular,may,fri,167,1,0,nonexistent,-1.8,93.07,-47.21,1.31,4920.63,0,False,False
48,services,married,high.school,unknown,yes,no,telephone,may,thu,232,2,0,nonexistent,1.1,96.15,-37.81,4.85,5263.67,0,False,False
72,retired,married,basic.9y,no,yes,no,cellular,oct,thu,4314,1,3,nonexistent,-3.4,89.02,-47.53,4.62,4987.11,1,False,False
67,technician,married,basic.4y,unknown,no,yes,telephone,dec,mon,164,20,0,nonexistent,-3.4,92.98,-27.57,0.75,4962.3,1,False,False
47,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,144,8,0,nonexistent,1.4,96.16,-40.12,5.05,5447.68,0,False,False
46,management,married,basic.4y,unknown,no,yes,telephone,may,fri,261,3,0,nonexistent,1.1,98.5,-35.96,5.04,5061.22,0,False,False
34,admin.,married,university.degree,no,yes,no,telephone,may,thu,391,4,0,nonexistent,1.1,91.83,-37.52,4.68,5279.24,0,False,False
38,technician,divorced,university.degree,no,no,no,cellular,jul,mon,2187,2,4,failure,1.4,96.65,-33.5,3.44,5215.03,0,False,False
50,self-employed,divorced,university.degree,no,yes,no,cellular,nov,thu,748,1,1,failure,-0.1,91.05,-40.27,4.03,5232.17,0,False,False
35,entrepreneur,single,basic.9y,no,no,no,cellular,nov,wed,5066,1,0,failure,-0.1,94.95,-34.12,2.59,5085.17,0,False,False
98,blue-collar,married,basic.9y,no,yes,yes,cellular,dec,mon,5119,49,6,nonexistent,1.4,92.91,-46.43,2.75,5276.92,0,False,False
61,housemaid,unknown,basic.4y,yes,yes,yes,telephone,jul,thu,227,34,0,nonexistent,1.4,89.69,-44.49,4.74,5149.67,1,False,False
47,entrepreneur,married,university.degree,no,yes,no,telephone,may,fri,148,1,0,nonexistent,1.1,97.84,-36.32,4.74,5357.11,0,False,False
27,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,3187,2,1,failure,1.4,94.74,-40.91,4.66,5285.26,0,False,False
66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,216,3,2,success,-1.7,92.05,-39.06,0.91,5081.44,1,False,True
40,entrepreneur,single,high.school,no,yes,no,telephone,jul,thu,68,0,0,nonexistent,1.4,94.1,-42.87,5.0,5170.59,0,False,False
45,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,tue,2212,0,5,failure,1.4,93.18,-43.11,3.35,5221.69,0,False,False
52,housemaid,married,university.degree,no,yes,no,telephone,may,thu,63,1,0,nonexistent,1.1,90.79,-37.96,4.75,5434.97,0,False,False
71,retired,married,professional.course,no,no,yes,cellular,oct,thu,2028,0,3,nonexistent,-3.4,96.65,-40.58,0.78,4811.83,0,False,False
32,technician,married,professional.course,no,yes,no,cellular,jul,thu,260,1,0,nonexistent,1.4,91.94,-43.04,4.85,5113.08,1,False,False
30,blue-collar,married,professional.course,no,no,no,telephone,may,wed,33,8,0,nonexistent,-1.8,94.75,-48.14,1.32,5226.57,0,False,False
56,housemaid,married,basic.6y,unknown,yes,no,telephone,may,tue,119,1,0,nonexistent,1.1,93.71,-35.59,4.7,5320.77,0,False,False
30,self-employed,single,university.degree,no,yes,no,cellular,jul,tue,193,1,0,nonexistent,-2.9,92.56,-33.86,1.01,4903.6,0,False,False
48,admin.,married,university.degree,no,no,no,telephone,may,fri,73,9,0,nonexistent,1.1,98.03,-37.34,5.02,5102.75,0,False,False
57,blue-collar,married,professional.course,unknown,unknown,unknown,telephone,may,tue,4454,4,1,failure,1.1,93.98,-47.55,2.28,4945.14,0,False,False
31,services,married,high.school,no,no,no,cellular,jul,mon,2814,3,5,success,1.4,95.02,-43.5,3.42,4873.89,0,False,False
35,services,single,high.school,no,no,no,cellular,jul,tue,186,0,0,nonexistent,1.4,89.5,-42.65,5.01,5045.11,0,False,False
45,blue-collar,single,high.school,unknown,no,no,telephone,jun,mon,69,0,0,nonexistent,1.4,92.38,-40.0,4.78,5405.85,0,False,False
37,services,married,high.school,unknown,no,no,cellular,jul,wed,81,2,0,nonexistent,1.4,94.57,-40.94,4.93,5045.11,0,False,False
54,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,fri,570,0,0,nonexistent,1.4,89.78,-41.46,4.99,5034.66,0,False,False
46,technician,married,university.degree,no,yes,no,cellular,nov,wed,1454,0,1,nonexistent,-0.1,95.4,-29.45,2.6,5058.19,0,False,False
