id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe,predicted,predicted_prob,true_label
8605,58,retired,married,basic.4y,unknown,yes,yes,cellular,aug,tue,3134,8,980,2,success,1.4,95.14,-31.55,2.33,5430.76,no,1,0.29918330676684646,0
13937,55,management,married,university.degree,no,yes,no,cellular,nov,thu,1046,0,665,4,nonexistent,-1.1,92.35,-47.57,0.69,5004.47,no,1,0.36043127788557167,0
22405,31,student,single,unknown,no,yes,no,cellular,aug,mon,2795,2,441,4,success,-1.7,97.36,-42.34,5.16,4780.9,yes,0,0.18577360964601694,1
8058,36,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,54,1,902,6,failure,1.4,90.53,-41.25,0.7,5208.22,no,1,0.2656884089406645,0
4107,23,admin.,single,professional.course,no,yes,no,cellular,apr,thu,4000,5,960,0,success,-1.8,93.87,-38.71,1.03,4956.43,no,1,0.23181331045037532,0
12444,67,retired,married,unknown,no,no,no,cellular,sep,tue,697,0,1041,1,failure,-1.1,90.05,-39.26,0.87,5142.28,no,1,0.31735386798652193,0
14582,77,retired,married,unknown,no,no,no,cellular,mar,thu,1320,1,762,6,success,-1.8,94.43,-43.04,1.42,5393.16,yes,0,0.0790370485724895,1
18918,43,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,877,0,988,0,nonexistent,1.4,92.13,-43.51,4.77,5316.97,no,1,0.42127828496284553,0
9996,20,student,single,high.school,no,yes,no,telephone,jun,tue,29,1,13,2,success,-1.7,93.3,-40.03,0.74,4826.87,no,1,0.3640993253918389,0
6449,73,unknown,unknown,basic.6y,yes,unknown,yes,cellular,apr,fri,275,54,974,0,nonexistent,1.4,92.5,-41.46,4.83,5484.27,yes,0,0.18021749699104436,1
11326,31,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,709,2,301,1,success,1.4,97.61,-51.44,0.63,4898.58,no,1,0.2699890344186577,0
