id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe,predicted,predicted_prob,true_label
11710,32,admin.,married,high.school,no,yes,no,cellular,sep,thu,1720,0,939,3,nonexistent,-1.1,92.25,-47.84,2.52,4995.12,yes,0,0.4765573,1
12965,60,retired,married,basic.4y,no,yes,no,cellular,aug,fri,160,0,14,1,success,-2.9,94.04,-31.8,0.88,4928.99,yes,0,0.47831947,1
22405,31,student,single,unknown,no,yes,no,cellular,aug,mon,2795,2,441,4,success,-1.7,97.36,-42.34,5.16,4780.9,yes,0,0.3538154,1
12444,67,retired,married,unknown,no,no,no,cellular,sep,tue,697,0,1041,1,failure,-1.1,90.05,-39.26,0.87,5142.28,no,1,0.70672023,0
18918,43,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,877,0,988,0,nonexistent,1.4,92.13,-43.51,4.77,5316.97,no,1,0.50569475,0
19079,49,admin.,divorced,university.degree,no,yes,no,cellular,jul,fri,2432,1,748,2,failure,-2.9,90.84,-39.99,4.13,4980.17,yes,0,0.41460428,1
8478,34,unemployed,married,professional.course,no,yes,no,cellular,dec,mon,3553,1,883,1,nonexistent,-3.0,91.74,-31.05,2.42,4974.16,yes,0,0.34667125,1
4144,30,unemployed,divorced,basic.4y,no,yes,no,telephone,jun,tue,2328,1,65,1,failure,1.4,90.42,-44.0,2.63,5407.25,yes,0,0.039728414,1
19274,45,self-employed,divorced,university.degree,no,no,yes,cellular,jul,mon,877,3,1018,0,nonexistent,1.4,95.7,-44.62,4.96,5411.08,yes,0,0.496393,1
2405,35,retired,married,illiterate,unknown,unknown,no,telephone,may,mon,1682,29,208,3,success,1.4,97.21,-33.86,3.62,5436.59,yes,0,0.31107602,1
16770,29,technician,married,university.degree,no,yes,no,telephone,may,tue,704,1,1006,0,nonexistent,1.1,90.04,-35.78,4.95,5128.7,yes,0,0.16801183,1
4541,31,admin.,single,high.school,no,no,no,cellular,jul,mon,4278,6,204,0,success,1.4,92.13,-32.09,1.85,4973.61,yes,0,0.061876148,1
7921,52,entrepreneur,single,unknown,unknown,no,no,telephone,jul,wed,521,0,949,0,nonexistent,1.4,90.25,-43.42,4.71,5468.59,yes,0,0.106016874,1
4936,30,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,560,1,1033,0,nonexistent,1.1,94.65,-34.76,4.66,5191.0,yes,0,0.097427815,1
2547,24,blue-collar,single,basic.9y,no,yes,no,cellular,jul,fri,683,4,19,2,failure,1.4,90.82,-42.86,3.49,4982.35,yes,0,0.11787848,1
13627,34,self-employed,single,university.degree,no,no,no,cellular,jul,thu,3756,2,279,5,success,-1.7,93.03,-28.51,2.17,5287.44,yes,0,0.3808637,1
5655,42,admin.,single,high.school,no,no,no,cellular,nov,wed,980,1,965,1,failure,-0.1,88.63,-41.7,4.24,5247.75,yes,0,0.2960616,1
2451,88,admin.,divorced,high.school,yes,yes,no,cellular,jun,wed,64,44,1031,0,nonexistent,1.4,92.19,-41.67,5.19,5463.36,yes,0,0.4634029,1
248,42,unemployed,married,basic.9y,no,yes,no,cellular,may,thu,3289,1,243,4,failure,-1.8,96.49,-28.42,2.66,4995.76,yes,0,0.096776776,1
4179,50,management,married,university.degree,unknown,yes,no,cellular,aug,mon,750,1,967,0,nonexistent,1.4,97.83,-35.23,5.04,5290.83,yes,0,0.3872291,1
11548,28,admin.,married,high.school,no,yes,no,cellular,jun,fri,3751,0,1014,2,success,-1.7,98.18,-45.61,1.89,4980.47,yes,0,0.47544515,1
11770,30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,917,1,1017,0,nonexistent,1.4,91.38,-34.72,5.06,4992.83,no,1,0.5006109,0
2843,49,blue-collar,married,basic.4y,no,no,yes,cellular,jun,mon,1619,0,101,3,success,-1.7,87.97,-33.09,1.2,5115.12,yes,0,0.43932465,1
4140,72,technician,unknown,basic.6y,no,yes,unknown,telephone,sep,thu,23,34,955,0,nonexistent,-0.1,96.64,-40.9,3.84,5071.1,no,1,0.652754,0
15995,35,technician,divorced,professional.course,no,no,no,telephone,mar,fri,257,0,1006,1,failure,-1.8,94.39,-35.18,0.62,5173.98,yes,0,0.49204862,1
18501,35,self-employed,married,university.degree,no,yes,no,cellular,may,mon,422,2,979,1,failure,-1.8,91.22,-46.8,1.2,5216.37,yes,0,0.2110939,1
15496,41,management,married,university.degree,no,no,no,cellular,nov,thu,4199,0,606,2,success,-0.1,92.32,-30.09,4.61,5012.69,yes,0,0.059994735,1
12015,69,housemaid,divorced,basic.4y,no,no,yes,telephone,jul,thu,101,48,995,0,nonexistent,1.4,96.16,-43.84,4.88,5353.57,yes,0,0.24666761,1
3097,81,student,single,basic.9y,no,yes,no,telephone,may,thu,247,46,973,1,failure,-1.8,92.8,-46.61,1.32,5348.95,yes,0,0.41467264,1
3449,74,services,married,professional.course,unknown,unknown,yes,cellular,oct,thu,64,54,980,0,nonexistent,1.4,95.98,-42.82,4.76,5018.97,yes,0,0.09947735,1
11125,63,housemaid,married,basic.4y,no,yes,no,telephone,aug,mon,229,1,5,2,failure,-2.9,89.71,-31.87,0.88,4979.75,yes,0,0.46223655,1
2151,43,admin.,single,basic.9y,no,yes,yes,cellular,jul,mon,266,1,184,1,nonexistent,1.4,90.28,-41.78,2.53,4897.0,yes,0,0.0118436795,1
4844,33,housemaid,married,university.degree,no,no,no,cellular,aug,thu,483,3,3,1,success,-2.9,92.47,-30.55,0.89,5330.01,no,1,0.502195,0
10782,43,entrepreneur,married,basic.4y,no,yes,no,cellular,may,tue,3836,2,373,1,nonexistent,-1.8,92.88,-32.55,1.05,4926.55,yes,0,0.050537523,1
9749,34,admin.,married,high.school,no,no,no,telephone,jun,wed,1657,0,517,3,nonexistent,1.4,94.82,-36.72,3.54,4862.68,yes,0,0.04112109,1
15617,29,admin.,single,unknown,no,yes,no,cellular,mar,mon,129,1,989,0,nonexistent,-1.8,96.54,-36.26,0.64,4893.49,yes,0,0.15387978,1
12646,57,admin.,married,professional.course,no,yes,no,cellular,apr,thu,1694,0,600,0,success,-1.8,89.36,-30.56,4.28,5194.37,yes,0,0.38917992,1
1384,54,retired,married,basic.4y,no,no,yes,cellular,oct,thu,163,1,980,0,nonexistent,-3.4,91.96,-26.28,0.71,5203.14,yes,0,0.3823857,1
6679,95,services,single,university.degree,unknown,unknown,unknown,telephone,aug,fri,150,39,1021,0,nonexistent,1.4,91.01,-34.58,4.76,4977.15,no,1,0.5986616,0
10719,30,services,married,basic.9y,no,no,no,cellular,jun,mon,83,1,999,0,nonexistent,-2.9,89.8,-39.65,1.3,4939.14,yes,0,0.058313873,1
15847,66,services,married,high.school,yes,unknown,unknown,telephone,may,tue,823,29,1016,1,failure,-1.8,96.23,-47.3,1.27,5099.1,no,1,0.7461025,0
18251,64,retired,divorced,basic.9y,unknown,no,yes,telephone,may,fri,146,13,1025,0,nonexistent,1.4,94.19,-41.29,5.0,5029.43,yes,0,0.28143957,1
18618,23,housemaid,married,university.degree,no,unknown,no,cellular,jun,tue,61,6,992,0,nonexistent,-1.8,95.3,-44.16,1.21,5180.68,yes,0,0.034857843,1
21083,59,entrepreneur,divorced,unknown,unknown,yes,yes,cellular,mar,wed,912,12,477,0,success,1.4,94.75,-34.79,3.22,5047.71,yes,0,0.40194282,1
4825,19,technician,single,university.degree,no,no,no,cellular,may,mon,245,4,958,0,nonexistent,-1.8,93.35,-48.04,1.41,5139.89,yes,0,0.117957674,1
